2016-12-09T13:56:04,746 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Thomas0.7801296055497359, email=null, uid=null]
2016-12-09T14:04:30,570 [main] INFO  - .....HibernateDAO --- <= update ok
2016-12-09T14:04:30,570 [main] INFO  - .....HibernateDAO --- => delete this identity : Identity [displayName=Thomas0.035427788423571416, email=tbr@tbr.com, uid=null]
2016-12-09T14:04:30,590 [main] INFO  - .....HibernateDAO --- <= delete ok
2016-12-09T14:04:30,598 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Clement, email=clement@epita.fr, uid=123]
2016-12-09T14:04:30,608 [main] INFO  - .....HibernateDAO --- <= save ok
2016-12-09T14:04:30,608 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Quentin, email=quentin@epita.fr, uid=456]
2016-12-09T14:04:30,617 [main] INFO  - .....HibernateDAO --- <= save ok
2016-12-09T14:04:30,831 [main] INFO  - .....HibernateDAO --- => delete this identity : Identity [displayName=Clement, email=clement@epita.fr, uid=123]
2016-12-09T14:04:30,841 [main] INFO  - .....HibernateDAO --- <= delete ok
2016-12-09T14:04:30,870 [main] INFO  - ....TestIAMLogger --- test
2016-12-09T14:04:30,877 [main] INFO  - fr....TestLog4J2Configuration --- globalSetup
2016-12-09T14:04:30,878 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T14:04:30,878 [main] INFO  - fr....TestLog4J2Configuration --- init2
2016-12-09T14:04:30,878 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T14:04:30,879 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T14:04:30,879 [main] INFO  - fr....TestLog4J2Configuration --- init3
2016-12-09T14:04:30,879 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T14:04:30,880 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T14:04:30,880 [main] INFO  - fr....TestLog4J2Configuration --- init1
2016-12-09T14:04:30,880 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T14:04:30,880 [main] INFO  - fr....TestLog4J2Configuration --- globalTearDown
2016-12-09T18:48:23,494 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Thomas0.9861463764283764, email=null, uid=null]
2016-12-09T18:48:23,513 [main] INFO  - .....HibernateDAO --- <= save ok
2016-12-09T18:48:23,514 [main] INFO  - .....HibernateDAO --- => update this identity : Identity [displayName=Thomas0.9861463764283764, email=cserr@tbr.com, uid=null]
2016-12-09T18:48:23,547 [main] INFO  - .....HibernateDAO --- <= update ok
2016-12-09T18:48:23,548 [main] INFO  - .....HibernateDAO --- => delete this identity : Identity [displayName=Thomas0.9861463764283764, email=tbr@tbr.com, uid=null]
2016-12-09T18:48:23,562 [main] INFO  - .....HibernateDAO --- <= delete ok
2016-12-09T18:48:23,570 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Clement, email=clement@epita.fr, uid=123]
2016-12-09T18:48:23,579 [main] INFO  - .....HibernateDAO --- <= save ok
2016-12-09T18:48:23,580 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Quentin, email=quentin@epita.fr, uid=456]
2016-12-09T18:48:23,589 [main] INFO  - .....HibernateDAO --- <= save ok
2016-12-09T18:48:23,728 [main] INFO  - .....HibernateDAO --- => delete this identity : Identity [displayName=Clement, email=clement@epita.fr, uid=123]
2016-12-09T18:48:23,735 [main] INFO  - .....HibernateDAO --- <= delete ok
2016-12-09T18:48:23,760 [main] INFO  - ....TestIAMLogger --- test
2016-12-09T18:48:23,770 [main] INFO  - fr....TestLog4J2Configuration --- globalSetup
2016-12-09T18:48:23,770 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T18:48:23,770 [main] INFO  - fr....TestLog4J2Configuration --- init2
2016-12-09T18:48:23,770 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T18:48:23,773 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T18:48:23,774 [main] INFO  - fr....TestLog4J2Configuration --- init3
2016-12-09T18:48:23,775 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T18:48:23,776 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T18:48:23,776 [main] INFO  - fr....TestLog4J2Configuration --- init1
2016-12-09T18:48:23,777 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T18:48:23,778 [main] INFO  - fr....TestLog4J2Configuration --- globalTearDown
